,R_Creation Date,R_Status,R_SRN,R_Type of SR,R_Street Address,R_ Zip,R_X-Coordinate,R_Y-Coordinate,R_ Ward,R_Police_District,R_Community_Area,R_Latitude,R_Longitude,R_Location,R_No_of_premises_baited,R_No_of_premises_withgarbage,R_No_of_premises_withrats
21,2018-12-17T00:00:00.000,Open,18-03383756,Rodent Baiting/Rat Complaint,2242 S CENTRAL PARK AVE,60623,1152721.58761829,1888788.18831385,22,10,30,41.85069019587802,-87.71497057951069,"{'latitude': '41.850690195878', 'longitude': '-87.714970579511'}",0,0,0
22,2018-12-17T00:00:00.000,Open,18-03382318,Rodent Baiting/Rat Complaint,724 W GRACE ST,60613,1170598.37078693,1925673.69482018,46,19,6,41.95153423668361,-87.64827840448694,"{'latitude': '41.951534236684', 'longitude': '-87.648278404487'}",0,0,0
23,2018-12-17T00:00:00.000,Open,18-03384638,Rodent Baiting/Rat Complaint,11618 S ABERDEEN ST,60643,1171078.96829844,1827759.13110319,34,5,53,41.68283640126445,-87.64937665764131,"{'latitude': '41.682836401264', 'longitude': '-87.649376657641'}",0,0,0
24,2018-12-17T00:00:00.000,Open,18-03383750,Rodent Baiting/Rat Complaint,3028 W FULLERTON AVE,60647,1155791.29201402,1915801.72532681,32,14,22,41.92475672322962,-87.70297578989064,"{'latitude': '41.92475672323', 'longitude': '-87.702975789891'}",0,0,0
25,2018-12-17T00:00:00.000,Open,18-03384367,Rodent Baiting/Rat Complaint,1015 N LA SALLE DR,60610,1174946.74972465,1907305.37701862,2,18,8,41.90103438450907,-87.63284561412668,"{'latitude': '41.901034384509', 'longitude': '-87.632845614127'}",0,0,0
26,2018-12-17T00:00:00.000,Open,18-03380666,Rodent Baiting/Rat Complaint,1025 W ARGYLE ST,60640,1168446.20028677,1933587.97889476,48,20,3,41.97329823610791,-87.6559597021064,"{'latitude': '41.973298236108', 'longitude': '-87.655959702106'}",0,0,0
27,2018-12-17T00:00:00.000,Open,18-03379386,Rodent Baiting/Rat Complaint,8015 S PAULINA ST,60620,1166404.90870398,1851551.34072373,21,6,71,41.74822654187319,-87.66581141382667,"{'latitude': '41.748226541873', 'longitude': '-87.665811413827'}",0,0,0
28,2018-12-17T00:00:00.000,Open,18-03384185,Rodent Baiting/Rat Complaint,2658 S SAWYER AVE,60623,1155123.64378938,1886161.01500733,12,10,30,41.84343312162186,-87.70622492289496,"{'latitude': '41.843433121622', 'longitude': '-87.706224922895'}",0,0,0
29,2018-12-17T00:00:00.000,Open,18-03385122,Rodent Baiting/Rat Complaint,1906 W PRATT BLVD,60626,1162345.92021731,1945185.20589126,49,24,1,42.00525158454823,-87.6780654842374,"{'latitude': '42.005251584548', 'longitude': '-87.678065484237'}",0,0,0
30,2018-12-17T00:00:00.000,Open,18-03382385,Rodent Baiting/Rat Complaint,5427 S CARPENTER ST,60609,1170235.45718816,1868825.26777639,20,9,61,41.795545917838375,-87.65127301254046,"{'latitude': '41.795545917838', 'longitude': '-87.65127301254'}",0,0,0
31,2018-12-17T00:00:00.000,Open,18-03383516,Rodent Baiting/Rat Complaint,2156 N LAPORTE AVE,60639,1143040.53792054,1913884.40141833,36,25,19,41.919743042927976,-87.7498760906429,"{'latitude': '41.919743042928', 'longitude': '-87.749876090643'}",0,0,0
32,2018-12-17T00:00:00.000,Open,18-03378648,Rodent Baiting/Rat Complaint,5223 S MELVINA AVE,60638,1135923.80129968,1869301.17621916,14,8,56,41.79753004245863,-87.77708572640884,"{'latitude': '41.797530042459', 'longitude': '-87.777085726409'}",0,0,0
33,2018-12-17T00:00:00.000,Open,18-03379026,Rodent Baiting/Rat Complaint,2928 N SEMINARY AVE,60657,1168442.31469025,1919714.31690052,44,19,6,41.935228461679536,-87.65637697941762,"{'latitude': '41.93522846168', 'longitude': '-87.656376979418'}",0,0,0
34,2018-12-17T00:00:00.000,Open,18-03378302,Rodent Baiting/Rat Complaint,5807 W SEMINOLE ST,60646,1136500.8947182,1937529.17482077,45,16,11,41.98474624467541,-87.77333645684963,"{'latitude': '41.984746244675', 'longitude': '-87.77333645685'}",0,0,0
35,2018-12-17T00:00:00.000,Open,18-03380419,Rodent Baiting/Rat Complaint,3808 N ALTA VISTA TER,60613,1168363.60990048,1925540.45391263,46,19,6,41.95121734148874,-87.65649715598848,"{'latitude': '41.951217341489', 'longitude': '-87.656497155988'}",0,0,0
36,2018-12-17T00:00:00.000,Open,18-03380866,Rodent Baiting/Rat Complaint,1130 N HAMLIN AVE,60651,1150840.55158533,1907269.35566641,27,11,23,41.90144153347123,-87.72139079757457,"{'latitude': '41.901441533471', 'longitude': '-87.721390797575'}",0,0,0
37,2018-12-17T00:00:00.000,Open,18-03379677,Rodent Baiting/Rat Complaint,4863 W NEWPORT AVE,60641,1143318.84976681,1922495.48681576,31,16,15,41.94336750485064,-87.74863775477661,"{'latitude': '41.943367504851', 'longitude': '-87.748637754777'}",0,0,0
38,2018-12-17T00:00:00.000,Open,18-03379301,Rodent Baiting/Rat Complaint,2600 N MONITOR AVE,60639,1136947.69008671,1916684.56232201,30,25,19,41.92753857040659,-87.77219516448956,"{'latitude': '41.927538570407', 'longitude': '-87.77219516449'}",0,0,0
39,2018-12-17T00:00:00.000,Open,18-03378307,Rodent Baiting/Rat Complaint,1600 N LINDER AVE,60639,1139495.17021451,1910094.71540407,37,25,25,41.90940916815884,-87.76299509265704,"{'latitude': '41.909409168159', 'longitude': '-87.762995092657'}",0,0,0
40,2018-12-17T00:00:00.000,Open,18-03384057,Rodent Baiting/Rat Complaint,2929 S LYMAN ST,60608,1169536.46367216,1885373.62801846,11,9,60,41.840971495797106,-87.65335602444763,"{'latitude': '41.840971495797', 'longitude': '-87.653356024448'}",0,0,0
41,2018-12-17T00:00:00.000,Open,18-03379139,Rodent Baiting/Rat Complaint,7335 S OAKLEY AVE,60636,1162341.64139262,1855970.49888351,18,8,66,41.76043890197117,-87.68057779343216,"{'latitude': '41.760438901971', 'longitude': '-87.680577793432'}",0,0,0
42,2018-12-17T00:00:00.000,Open,18-03383979,Rodent Baiting/Rat Complaint,6116 S MASON AVE,60638,1137785.02436859,1863384.44040219,13,8,64,41.78126022201343,-87.7704022720674,"{'latitude': '41.781260222013', 'longitude': '-87.770402272067'}",0,0,0
43,2018-12-17T00:00:00.000,Open,18-03384581,Rodent Baiting/Rat Complaint,2842 S KOSTNER AVE,60623,1147523.33701119,1884733.70071626,22,10,30,41.83966528008566,-87.73415317978716,"{'latitude': '41.839665280086', 'longitude': '-87.734153179787'}",0,0,0
44,2018-12-17T00:00:00.000,Open,18-03381524,Rodent Baiting/Rat Complaint,6500 N KEDZIE AVE,60645,1153855.70746907,1942921.02989923,50,0,2,41.99921264679884,-87.70936237320171,"{'latitude': '41.999212646799', 'longitude': '-87.709362373202'}",0,0,0
45,2018-12-17T00:00:00.000,Open,18-03380454,Rodent Baiting/Rat Complaint,600 W DIVERSEY PKWY,60614,1171731.11910126,1918859.90189371,44,19,6,41.93281201448483,-87.64431580979502,"{'latitude': '41.932812014485', 'longitude': '-87.644315809795'}",0,0,0
46,2018-12-17T00:00:00.000,Open,18-03380380,Rodent Baiting/Rat Complaint,7744 S EVANS AVE,60619,1182567.19047902,1853823.11059816,6,6,69,41.754101183127545,-87.60651746200269,"{'latitude': '41.754101183128', 'longitude': '-87.606517462003'}",0,0,0
47,2018-12-17T00:00:00.000,Open,18-03382312,Rodent Baiting/Rat Complaint,1835 S SPAULDING AVE,60623,1154653.28270651,1890870.67550397,24,10,29,41.85636639016142,-87.70782516092154,"{'latitude': '41.856366390161', 'longitude': '-87.707825160922'}",0,0,0
48,2018-12-17T00:00:00.000,Open,18-03383940,Rodent Baiting/Rat Complaint,8925 S UNION AVE,60620,1173202.50307504,1845735.79502217,21,22,71,41.73212050344681,-87.64107420224101,"{'latitude': '41.732120503447', 'longitude': '-87.641074202241'}",0,0,0
49,2018-12-17T00:00:00.000,Open,18-03378150,Rodent Baiting/Rat Complaint,1178 N MILWAUKEE AVE,60642,1165913.32319773,1907969.2038002,2,12,24,41.90305358244237,-87.66600696967781,"{'latitude': '41.903053582442', 'longitude': '-87.666006969678'}",0,0,0
50,2018-12-17T00:00:00.000,Open,18-03378182,Rodent Baiting/Rat Complaint,3705 N WAYNE AVE,60613,1166639.51212443,1924723.87746598,44,19,6,41.94901380720256,-87.6628583238135,"{'latitude': '41.949013807203', 'longitude': '-87.662858323813'}",0,0,0
51,2018-12-17T00:00:00.000,Open,18-03380150,Rodent Baiting/Rat Complaint,6111 W WAVELAND AVE,60634,1134972.41428427,1923968.07778319,36,16,17,41.94756057917862,-87.77928066310177,"{'latitude': '41.947560579179', 'longitude': '-87.779280663102'}",0,0,0
52,2018-12-17T00:00:00.000,Open,18-03380669,Rodent Baiting/Rat Complaint,4853 N KENMORE AVE,60640,1168374.50090603,1932532.16761659,46,20,3,41.97040261384063,-87.65625403997406,"{'latitude': '41.970402613841', 'longitude': '-87.656254039974'}",0,0,0
53,2018-12-17T00:00:00.000,Open,18-03380447,Rodent Baiting/Rat Complaint,2902 S LOWE AVE,60616,1172429.68550197,1885660.91201855,11,9,60,41.84169648161979,-87.64273053685744,"{'latitude': '41.84169648162', 'longitude': '-87.642730536857'}",0,0,0
54,2018-12-17T00:00:00.000,Open,18-03381411,Rodent Baiting/Rat Complaint,5641 S KEELER AVE,60629,1149332.11108955,1866746.4499844,13,8,62,41.79027086604172,-87.72798067946917,"{'latitude': '41.790270866042', 'longitude': '-87.727980679469'}",0,0,0
55,2018-12-17T00:00:00.000,Open,18-03381882,Rodent Baiting/Rat Complaint,538 N TROY ST,60612,1155280.40007764,1903471.31499462,27,12,23,41.89093129279076,-87.7051848284832,"{'latitude': '41.890931292791', 'longitude': '-87.705184828483'}",0,0,0
56,2018-12-17T00:00:00.000,Open,18-03378167,Rodent Baiting/Rat Complaint,1301 W OHIO ST,60642,1167699.21261837,1904145.25163254,1,12,24,41.892522091173326,-87.65955738729018,"{'latitude': '41.892522091173', 'longitude': '-87.65955738729'}",0,0,0
57,2018-12-17T00:00:00.000,Open,18-03383759,Rodent Baiting/Rat Complaint,9305 S THROOP ST,60620,1169294.7738727,1843061.1245034,21,22,73,41.72486617207757,-87.65546701058523,"{'latitude': '41.724866172078', 'longitude': '-87.655467010585'}",0,0,0
58,2018-12-17T00:00:00.000,Open,18-03380519,Rodent Baiting/Rat Complaint,2300 N WAYNE AVE,60614,1166934.13212963,1915404.15902198,2,18,7,41.92343370334523,-87.66204360302306,"{'latitude': '41.923433703345', 'longitude': '-87.662043603023'}",0,0,0
59,2018-12-17T00:00:00.000,Open,18-03385902,Rodent Baiting/Rat Complaint,1530 W OAKDALE AVE,60657,1165603.05581603,1919667.26610057,32,19,6,41.93516039822455,-87.66681267738393,"{'latitude': '41.935160398225', 'longitude': '-87.666812677384'}",0,0,0
60,2018-12-17T00:00:00.000,Open,18-03383022,Rodent Baiting/Rat Complaint,1951 W DIVISION ST,60622,1163080.88002796,1908002.45997754,1,12,24,41.90320483092019,-87.67641013273847,"{'latitude': '41.90320483092', 'longitude': '-87.676410132738'}",0,0,0
61,2018-12-17T00:00:00.000,Open,18-03378153,Rodent Baiting/Rat Complaint,5140 N ALBANY AVE,60625,1154769.62536899,1934055.19470538,33,17,13,41.97486602921758,-87.70623911627466,"{'latitude': '41.974866029218', 'longitude': '-87.706239116275'}",0,0,0
62,2018-12-17T00:00:00.000,Open,18-03380670,Rodent Baiting/Rat Complaint,4849 N KENMORE AVE,60640,1168375.46751085,1932495.57218381,46,20,3,41.97030217389305,-87.65625154919783,"{'latitude': '41.970302173893', 'longitude': '-87.656251549198'}",0,0,0
63,2018-12-17T00:00:00.000,Open,18-03383883,Rodent Baiting/Rat Complaint,3454 N BOSWORTH AVE,60657,1165368.45681469,1923016.82256766,44,19,6,41.94435675569905,-87.66757923391931,"{'latitude': '41.944356755699', 'longitude': '-87.667579233919'}",0,0,0
64,2018-12-17T00:00:00.000,Open,18-03383956,Rodent Baiting/Rat Complaint,3025 N OAK PARK AVE,60634,1130562.70788611,1919357.72627404,36,25,18,41.93498631939188,-87.7955962659709,"{'latitude': '41.934986319392', 'longitude': '-87.795596265971'}",0,0,0
65,2018-12-17T00:00:00.000,Open,18-03383268,Rodent Baiting/Rat Complaint,8045 S STEWART AVE,60620,1175022.73101426,1851586.06167398,17,6,44,41.74813401831394,-87.63423186265472,"{'latitude': '41.748134018314', 'longitude': '-87.634231862655'}",0,0,0
66,2018-12-17T00:00:00.000,Open,18-03377904,Rodent Baiting/Rat Complaint,4136 N KEYSTONE AVE,60641,1148550.09610661,1927179.83807959,39,17,16,41.95612221066975,-87.72928872936595,"{'latitude': '41.95612221067', 'longitude': '-87.729288729366'}",0,0,0
67,2018-12-17T00:00:00.000,Open,18-03378356,Rodent Baiting/Rat Complaint,2350 W ARMITAGE AVE,60647,1160191.12870073,1913217.19247732,32,14,22,41.91757468850746,-87.68688041591855,"{'latitude': '41.917574688507', 'longitude': '-87.686880415919'}",0,0,0
68,2018-12-17T00:00:00.000,Open,18-03383148,Rodent Baiting/Rat Complaint,2107 N HOYNE AVE,60647,1162007.36622883,1914184.71790456,32,14,22,41.92019188284148,-87.6801804356631,"{'latitude': '41.920191882841', 'longitude': '-87.680180435663'}",0,0,0
69,2018-12-17T00:00:00.000,Open,18-03381792,Rodent Baiting/Rat Complaint,22 E ELM ST,60611,1176313.91378993,1908103.50450502,2,18,8,41.90319374096438,-87.62779985678634,"{'latitude': '41.903193740964', 'longitude': '-87.627799856786'}",0,0,0
70,2018-12-17T00:00:00.000,Open,18-03382320,Rodent Baiting/Rat Complaint,1833 S SPAULDING AVE,60623,1154652.98270651,1890881.67550397,24,10,29,41.85639658140533,-87.70782596794743,"{'latitude': '41.856396581405', 'longitude': '-87.707825967947'}",0,0,0
71,2018-12-17T00:00:00.000,Open - Dup,18-03381915,Rodent Baiting/Rat Complaint,538 N TROY ST,60612,1155280.40007764,1903471.31499462,27,12,23,41.89093129279076,-87.7051848284832,"{'latitude': '41.890931292791', 'longitude': '-87.705184828483'}",0,0,0
72,2018-12-17T00:00:00.000,Open,18-03378184,Rodent Baiting/Rat Complaint,4749 S LANGLEY AVE,60615,1181731.87656951,1873675.87309591,4,2,38,41.80859834523161,-87.6089657027789,"{'latitude': '41.808598345232', 'longitude': '-87.608965702779'}",0,0,0
73,2018-12-17T00:00:00.000,Open,18-03381805,Rodent Baiting/Rat Complaint,4410 S NORMAL AVE,60609,1173699.859868,1875652.30177842,11,9,61,41.814203849018114,-87.63836655061871,"{'latitude': '41.814203849018', 'longitude': '-87.638366550619'}",0,0,0
74,2018-12-17T00:00:00.000,Open,18-03381144,Rodent Baiting/Rat Complaint,3953 N KENNEDY EXPRESS RL,60641,1148586.04253044,1925976.33320877,45,17,16,41.95281900493323,-87.72918777066504,"{'latitude': '41.952819004933', 'longitude': '-87.729187770665'}",0,0,0
75,2018-12-17T00:00:00.000,Open,18-03381348,Rodent Baiting/Rat Complaint,5605 S NEENAH AVE,60638,1133673.27800552,1866672.78628119,13,8,56,41.790356930034925,-87.78540035070546,"{'latitude': '41.790356930035', 'longitude': '-87.785400350705'}",0,0,0
76,2018-12-17T00:00:00.000,Open,18-03382859,Rodent Baiting/Rat Complaint,7725 S PAXTON AVE,60649,1192209.50542577,1854176.32240015,7,4,43,41.7548414609821,-87.57117066260886,"{'latitude': '41.754841460982', 'longitude': '-87.571170662609'}",0,0,0
77,2018-12-17T00:00:00.000,Open,18-03381664,Rodent Baiting/Rat Complaint,30 E CONGRESS PKWY,60605,1176751.32810431,1898079.92647063,4,1,32,41.87567863843055,-87.62649645472888,"{'latitude': '41.875678638431', 'longitude': '-87.626496454729'}",0,0,0
78,2018-12-17T00:00:00.000,Open,18-03378181,Rodent Baiting/Rat Complaint,5139 N CLAREMONT AVE,60625,1159751.05986758,1934144.33488,40,20,4,41.975009109458824,-87.68791828602292,"{'latitude': '41.975009109459', 'longitude': '-87.687918286023'}",0,0,0
79,2018-12-17T00:00:00.000,Open,18-03383066,Rodent Baiting/Rat Complaint,4825 N NASHVILLE AVE,60656,1131560.73470325,1931763.30543347,45,16,10,41.969011338528496,-87.79164025510998,"{'latitude': '41.969011338528', 'longitude': '-87.79164025511'}",0,0,0
80,2018-12-17T00:00:00.000,Open,18-03378879,Rodent Baiting/Rat Complaint,5214 N PAULINA ST,60640,1164052.01359917,1934738.25587798,40,20,77,41.97654884283368,-87.67208543282686,"{'latitude': '41.976548842834', 'longitude': '-87.672085432827'}",0,0,0
81,2018-12-17T00:00:00.000,Open,18-03378242,Rodent Baiting/Rat Complaint,7451 N ARTESIAN AVE,60645,1158695.08002026,1949455.52601373,50,24,2,42.017045361592416,-87.69137937180602,"{'latitude': '42.017045361592', 'longitude': '-87.691379371806'}",0,0,0
82,2018-12-17T00:00:00.000,Open,18-03382453,Rodent Baiting/Rat Complaint,3321 S MORGAN ST,60608,1170187.04691575,1882824.36986921,11,9,60,41.833961940021965,-87.6510429401912,"{'latitude': '41.833961940022', 'longitude': '-87.651042940191'}",0,0,0
83,2018-12-17T00:00:00.000,Open,18-03385018,Rodent Baiting/Rat Complaint,5329 W DAKIN ST,60641,1140124.12602105,1925734.65181389,38,16,15,41.95231528177843,-87.7603005549534,"{'latitude': '41.952315281778', 'longitude': '-87.760300554953'}",0,0,0
84,2018-12-17T00:00:00.000,Open,18-03378238,Rodent Baiting/Rat Complaint,627 N MONTICELLO AVE,60624,1151939.71726807,1903937.41813123,27,11,23,41.89227678105467,-87.71744127697089,"{'latitude': '41.892276781055', 'longitude': '-87.717441276971'}",0,0,0
85,2018-12-17T00:00:00.000,Open,18-03385331,Rodent Baiting/Rat Complaint,3675 N ELSTON AVE,60618,1153563.55972343,1924276.20769286,33,17,16,41.948055998981694,-87.71093542952525,"{'latitude': '41.948055998982', 'longitude': '-87.710935429525'}",0,0,0
86,2018-12-17T00:00:00.000,Open,18-03381567,Rodent Baiting/Rat Complaint,2142 N BISSELL ST,60614,1169610.46888203,1914433.67962042,43,18,7,41.92071274501942,-87.65223814448974,"{'latitude': '41.920712745019', 'longitude': '-87.65223814449'}",0,0,0
87,2018-12-17T00:00:00.000,Open,18-03379269,Rodent Baiting/Rat Complaint,513 N HARDING AVE,60624,1149966.4879011,1903135.00817633,37,11,23,41.89011352176318,-87.72470907452964,"{'latitude': '41.890113521763', 'longitude': '-87.72470907453'}",0,0,0
88,2018-12-17T00:00:00.000,Open,18-03381793,Rodent Baiting/Rat Complaint,23 E ELM ST,60611,1176324.71378993,1908103.80450502,2,18,8,41.903194320431396,-87.62776017757534,"{'latitude': '41.903194320431', 'longitude': '-87.627760177575'}",0,0,0
89,2018-12-17T00:00:00.000,Open,18-03379744,Rodent Baiting/Rat Complaint,6017 W BYRON ST,60634,1135549.6955918,1925299.43738546,38,16,17,41.95120370752928,-87.77712692609003,"{'latitude': '41.951203707529', 'longitude': '-87.77712692609'}",0,0,0
90,2018-12-17T00:00:00.000,Open,18-03383831,Rodent Baiting/Rat Complaint,3429 N BOSWORTH AVE,60657,1165373.06009961,1922849.2663981,44,19,6,41.94389687516708,-87.66756709775623,"{'latitude': '41.943896875167', 'longitude': '-87.667567097756'}",0,0,0
91,2018-12-17T00:00:00.000,Open,18-03386203,Rodent Baiting/Rat Complaint,915 N DAMEN AVE,60622,1162907.12701028,1906006.42073285,2,12,24,41.897731197569215,-87.67710444606347,"{'latitude': '41.897731197569', 'longitude': '-87.677104446063'}",0,0,0
92,2018-12-17T00:00:00.000,Open,18-03384600,Rodent Baiting/Rat Complaint,3316 S LITUANICA AVE,60608,1170846.97912937,1882968.76727863,11,9,60,41.83434377037747,-87.64861728201616,"{'latitude': '41.834343770377', 'longitude': '-87.648617282016'}",0,0,0
93,2018-12-17T00:00:00.000,Open,18-03381349,Rodent Baiting/Rat Complaint,7252 S ALBANY AVE,60629,1156960.51407882,1856367.55186828,18,8,66,41.761638834632336,-87.70028923863681,"{'latitude': '41.761638834632', 'longitude': '-87.700289238637'}",0,0,0
94,2018-12-17T00:00:00.000,Open,18-03382987,Rodent Baiting/Rat Complaint,1108 W 116TH ST,60643,1170989.46829844,1827877.53110319,34,5,53,41.68316325966294,-87.64970084392014,"{'latitude': '41.683163259663', 'longitude': '-87.64970084392'}",0,0,0
95,2018-12-17T00:00:00.000,Open,18-03378225,Rodent Baiting/Rat Complaint,4706 W BELLE PLAINE AVE,60641,1144044.62850586,1926919.34138688,45,17,15,41.95549333542696,-87.74585866410087,"{'latitude': '41.955493335427', 'longitude': '-87.745858664101'}",0,0,0
96,2018-12-17T00:00:00.000,Open,18-03382701,Rodent Baiting/Rat Complaint,5508 S WHIPPLE ST,60629,1156983.41987588,1867954.63147321,14,8,63,41.79343502212307,-87.69989246505351,"{'latitude': '41.793435022123', 'longitude': '-87.699892465054'}",0,0,0
97,2018-12-17T00:00:00.000,Open,18-03380803,Rodent Baiting/Rat Complaint,5616 S JUSTINE ST,60636,1166966.79270604,1867481.90158636,16,7,67,41.79193010230168,-87.66329771038717,"{'latitude': '41.791930102302', 'longitude': '-87.663297710387'}",0,0,0
98,2018-12-17T00:00:00.000,Open,18-03385163,Rodent Baiting/Rat Complaint,4719 N MAPLEWOOD AVE,60625,1158518.37000386,1931254.53842715,40,19,4,41.96710475818913,-87.69253078298387,"{'latitude': '41.967104758189', 'longitude': '-87.692530782984'}",0,0,0
99,2018-12-17T00:00:00.000,Open,18-03380663,Rodent Baiting/Rat Complaint,814 N LEAVITT ST,60622,1161589.3137983,1905453.99389212,2,12,24,41.89624285200402,-87.68196003233508,"{'latitude': '41.896242852004', 'longitude': '-87.681960032335'}",0,0,0
